TC ID,Test case name,Input length type,Input,Expected output,Actual output,Status,Accuracy justification/ Description of issue type,What is covered by the test
Pos_Fun_0001,Convert a simple daily sentence,S,puthaa sellam karanavaa,පුතා සෙල්ලම් කරනවා,,,· Simple sentence meaning is correctly preserved.,Daily language usage · Simple sentence · S · Accuracy validation
Pos_Fun_0002,Convert a compound sentence with conjunction,M,,අපි සල්ලි එකතු කලා නමුත් අපි ගමනක් ගියෙ නෑ ,,,· Compound structure is correctly converted.,Daily language usage · Compound sentence · M · Accuracy validatioapi salli ekathu kalaa namuth api gamanak giye naeen
Pos_Fun_0003,Convert a complex conditional sentence,S,oyaata udhav oone nam mama ennam,ඔයාට උදව් ඕනෙ නම් මම එන්නම් ,,,· Conditional clause is properly mapped to Sinhala.,Daily language usage · Complex sentence · S · Accuracy validation
Pos_Fun_0004,Convert a common question,S,oyaage nama mokakdha?,ඔයාගෙ නම මොකක්ද?,,,· Interrogative form and question mark are correct.,Greeting / request / response · Interrogative (question) · S · Accuracy validation
Pos_Fun_0005,Convert an imperative command,S,meeka othanin thiyanna,මේක ඔතනින් තියන්න,,,· Command structure is properly converted.,Daily language usage · Imperative (command) · S · Accuracy validation
Pos_Fun_0006,Convert a positive future statement,S,api heta paadam karamu,අපි හෙට පාඩම් කරමු,,,· Future tense is correctly expressed.,Daily language usage · Future tense · S · Accuracy validation
Pos_Fun_0007,Convert a negative sentence,S,eyaata eeka karanna baee,එයාට ඒක කරන්න බෑ,,,· Negation is properly placed and converted.,Daily language usage · Negation (negative form) · S · Accuracy validation
Pos_Fun_0008,Convert an informal greeting,M,kohomadha yaaluvee? oyaata kohomadha? godak kaalekin api hamba vune naethi nisaa mama hithuva oyaava balanna enanna,කොහොමද යාලුවේ? ඔයාට කොහොමද? ගොඩක් කාලෙකින් අපි හම්බ වුනෙ නැති නිසා මම හිතුව ඔයාව බලන්න එනන්න,,,· Informal greeting is accurately transliterated.,Greeting / request / response · Simple sentence · M · Accuracy validation
Pos_Fun_0009,Convert a polite request,M,karuNaakarala dhora vahanna puluvandha?,කරුණාකරල දොර වහන්න පුලුවන්ද?,,,· Polite markers are correctly handled.,Greeting / request / response · Interrogative (question) · M · Accuracy validation
Pos_Fun_0010,Convert slang/informal phrasing,S,machaQQlaa api set vemu,මචංලා අපි සෙට් වෙමු,,,· Slang and informal address are converted correctly.,Slang / informal language · Simple sentence · S · Accuracy validation
Pos_Fun_0011,Convert a common daily expression,M,adha dhavasa harima mahansiyi mata hithenne gedhara gihin poddak rest karanna oone kiyalaa,අද දවස හරිම මහන්සියි මට හිතෙන්නෙ ගෙදර ගිහින් පොඩ්ඩක් rest කරන්න ඕනෙ කියලා,,,· Everyday expression meaning is preserved.,Daily language usage · Simple sentence · M · Accuracy validation
Pos_Fun_0012,Convert a multi-word phrase,M,mata oone aluth telephone ekak ganna mokadha parana eka dhan hariyata vaeda karanne naethi nisaa,මට ඕනෙ අලුත් telephone එකක් ගන්න මොකද පරන එක දන් හරියට වැඩ කරන්නේ නැති නිසා,,,· Phrase pattern is correctly segmented and converted.,Word combination / phrase pattern · Simple sentence · M · Accuracy validation
Pos_Fun_0013,Convert unit of measurement,S,api 10km dhuvamu,අපි 10km දුවමු,,,· Unit 'km' is preserved.,Punctuation / numbers · Simple sentence · S · Accuracy validation
Pos_Fun_0014,Convert past tense sentence,S,mama pereedha oyaava dhaekka,මම පෙරේද ඔයාව දැක්ක,,,· Past tense verb form is correct.,Daily language usage · Past tense · S · Accuracy validation
